label	properties
[University]	[email, motto, name, total_faculty, master_programs, affiliated_hospital, doctoral_programs, undergraduates, university_id, international_students, phone, spirit, established_year, colleges, research_institutes, affiliated_high_school, website, postgraduates]
[Campus]	[area_size, campus_id, name, address]
[Achievement]	[description]
[Discipline]	[name]
[Milestone]	[event, year]
[Person, Faculty]	[role, name]
[Person, Faculty]	[name, position]
[Person, Faculty]	[position, name]
[Library]	[equipment_value, collection]
[College, Building]	[philosophy, website, name, established]
[Person, Faculty]	[responsibility, name, position]
[Person, Faculty]	[responsibility, position, name]
[Department]	[name]
[Platform]	[name, level]
[AcademicProgram]	[level, type, name]
[AcademicProgram]	[type, level, name]
[AcademicProgram]	[type, name]
[ResearchAchievement]	[funding, monographs, awards, patents, nsfc_projects, papers, projects_total]
[Collaboration]	[type, name]
[Collaboration]	[name, type]
[Collaboration]	[type, details, name]
[Goal]	[description]
[College, Building]	[website, established, description, research_centers, name]
[Department]	[office, name, phone]
[Lab]	[office, phone, name]
[Office]	[office, name, phone]
[AcademicProgram]	[type, name, level]
[ResearchCenter]	[name]
[Company]	[name]
[College, Building]	[website, name, address]
[OrganizationUnit]	[type, name]
[Person]	[name, roles]
[College, Building]	[website, name, phone, established, address]
[OfficeBuilding]	[function, rooms, name]
[OfficeBuilding]	[rooms, name, function]
[Department]	[type, room, name]
[Department]	[type, director, name]
[AcademicProgram]	[ranking, level, name, type]
[AcademicProgram]	[level, name, type]
[SpecialProgram]	[model, partner, type, name]
[ResearchPlatform]	[researchField, type, name]
[ResearchPlatform]	[researchField, name, type]
[College, Building]	[website, established_year, name, college_id, faculty_count, research_fields, phone]
[Milestone]	[description, year, milestone_id]
[Milestone]	[year, milestone_id, description]
[AcademicProgram]	[established_year, name, program_id, level]
[AcademicProgram]	[name, established_year, program_id, level]
[ResearchPlatform]	[type, platform_id, name]
[ResearchAchievement]	[monographs, nsfc_projects, key_projects, consultation_reports, papers_total]
[College, Building]	[website, campus, name, college_id, research_fields, departments, established_year]
[AcademicProgram]	[program_type, level, established_year, program_id, name]
[AcademicProgram]	[program_type, name, established_year, program_id, level]
[Partner]	[cooperation_type, partner_id, name]
[HistoryEvent]	[event_id, year, description]
[College, Building]	[website, name, phone, established_year, college_id, faculty_count, previous_name, departments]
[Person, Faculty]	[position, professional_title, name, responsibilities, leader_id]
[Person, Faculty]	[position, name, professional_title, responsibilities, leader_id]
[Person, Faculty]	[name, professional_title, position, responsibilities, leader_id]
[ResearchPlatform]	[level, name, platform_id, research_focus]
[College, Building]	[departments, established_year, website, name, campus, college_id, research_fields, phone]
[ResearchPlatform]	[level, platform_id, name, research_focus]
[Partner]	[name]
[AcademicProgram]	[type, name, program_id, features]
[College, Building]	[website, established_year, name, key_achievements, college_id, research_fields, founding_origin, motto]
[Person, Faculty]	[leader_type, position, leader_id, name]
[Person, Faculty]	[leader_type, academic_title, position, name, responsibilities, leader_id]
[Person, Faculty]	[name, leader_type, leader_id, position]
[Person, Faculty]	[name, academic_title, leader_id, position, responsibilities]
[AcademicProgram]	[level, program_id, features, majors]
[AcademicProgram]	[program_type, majors, program_id, level]
[ResearchPlatform]	[research_focus, name, platform_id, level]
[ResearchPlatform]	[name, research_focus, platform_id, level]
[Partner]	[cooperation_type, partner_id, project, name]
[AcademicResource]	[library_special, databases, case_bases]
[StrategicGoal]	[goal_id, description]
[StrategicGoal]	[description, goal_id]
[College, Building]	[motto, name, key_achievements, website, founding_origin, college_id, research_fields, established_year, phone]
[Department]	[type, name]
[Department]	[name, type]
[Person, Faculty]	[academic_title, department, name, leader_type, leader_id, position, responsibilities]
[Person, Faculty]	[department, name, academic_title, leader_id, position, responsibilities]
[AcademicProgram]	[majors, program_id, level]
[College, Building]	[motto, name, key_achievements, website, foreign_faculty, faculty_professors, established_year, founding_origin, college_id, faculty_count, research_fields, language_offerings]
[Person, Faculty]	[leader_type, position, contact, leader_id, name]
[Person, Faculty]	[leader_type, position, name, responsibilities, leader_id]
[SpecialProgram]	[name, program_id, features, established]
[College, Building]	[key_achievements, name, motto, website, founding_origin, college_id, research_fields, faculty_breakdown, established_year]
[ResearchFacility]	[area, facility_id, equipment, name]
[SpecialProject]	[output, project_id, partners, name]
[College, Building]	[motto, name, established_year, founding_origin, key_achievements, website, college_id, faculty_count, research_fields, faculty_breakdown]
[Person, Faculty]	[name, leader_type, position, responsibilities, leader_id]
[Person, Faculty]	[position, name, responsibilities, leader_id]
[ResearchPlatform]	[equipment, projects, platform_id, name]
[HeritageSite]	[build_year, architect, status, site_id, name]
[College, Building]	[established_year, campus_id, website, name, college_id, faculty_count, social_services, research_highlights]
[Department]	[dept_id, name, features]
[ResearchInstitute]	[name, focus_areas, institute_id]
